x,y,wl,wr,alphas_left,alphas_right
688.4107348,-190.5978609,5.203181408,5.205387512,0.00E+00,4.18E-03
687.6195925,-191.2102296,5.188781287,5.190182206,0.00E+00,3.22E-03
686.8081932,-191.7948958,5.191456341,5.176653417,0.00E+00,2.83E-03
685.9815274,-192.3575797,5.17401596,5.182829851,0.00E+00,4.61E-03
685.134631,-192.8896573,5.182326648,5.19091877,0.00E+00,6.81E-03
684.2634516,-193.3808701,5.204969125,5.195692005,0.00E+00,7.47E-03
683.3681531,-193.8263062,5.23495723,5.212821774,0.00E+00,5.77E-03
682.4585491,-194.2417323,5.234615308,5.242766371,0.00E+00,5.20E-03
681.5359562,-194.6288262,5.241970383,5.276716061,0.00E+00,5.77E-03
680.5989593,-194.9795152,5.239868958,5.264495095,0.00E+00,5.45E-03
679.6470142,-195.2856954,5.217446692,5.239644672,0.00E+00,2.41E-03
678.6860666,-195.5625625,5.192480027,5.202113937,4.89E-04,0.00E+00
677.7225265,-195.8302015,5.201180813,5.184575704,0.00E+00,5.34E-04
676.7527381,-196.0737214,5.210305855,5.198620915,0.00E+00,1.88E-03
675.7774777,-196.2961616,5.221321296,5.223943409,0.00E+00,3.63E-03
674.7974926,-196.4952236,5.230166647,5.237028562,0.00E+00,5.08E-03
673.8080954,-196.6350331,5.201820047,5.229999833,8.04E-04,0.00E+00
672.812466,-196.7363979,5.124081594,5.206119948,1.05E-02,0.00E+00
671.819226,-196.8552763,5.040507684,5.112384659,1.34E-02,0.00E+00
670.8349899,-197.0280087,5.046108533,5.058026835,2.09E-03,0.00E+00
669.8380651,-197.1161602,5.017682829,5.015661187,5.04E-03,0.00E+00
668.841961,-197.2014408,5.013943464,5.007871619,6.36E-03,0.00E+00
667.8446348,-197.2755637,5.002327542,4.997654445,8.35E-03,0.00E+00
666.8477859,-197.3546481,4.985685097,4.98358691,8.20E-03,0.00E+00
665.8515217,-197.4409856,4.967962915,4.967365704,5.62E-03,0.00E+00
